iter	Passed	Remaining
0	17	12101
1	34	12198
2	53	12521
3	72	12589
4	90	12523
5	107	12480
6	125	12448
7	143	12409
8	160	12289
9	177	12280
10	195	12273
11	213	12267
12	231	12245
13	249	12222
14	267	12216
15	281	12037
16	299	12035
17	316	12000
18	334	11994
19	350	11906
20	368	11915
21	387	11928
22	405	11927
23	423	11936
24	441	11908
25	459	11908
26	476	11884
27	494	11861
28	511	11832
29	529	11821
30	546	11796
31	565	11810
32	583	11801
33	601	11783
34	619	11762
35	637	11751
36	655	11750
37	673	11741
38	692	11735
39	712	11761
40	732	11780
41	751	11770
42	769	11763
43	790	11779
44	810	11796
45	829	11794
46	848	11786
47	867	11781
48	887	11787
49	906	11786
50	926	11794
51	946	11790
52	969	11834
53	989	11841
54	1009	11843
55	1028	11828
56	1048	11822
57	1068	11826
58	1088	11828
59	1107	11817
60	1125	11793
61	1144	11773
62	1162	11759
63	1182	11749
64	1201	11740
65	1220	11728
66	1239	11706
67	1257	11688
68	1276	11674
69	1294	11651
70	1312	11629
71	1330	11605
72	1348	11583
73	1367	11567
74	1384	11537
75	1401	11503
76	1419	11483
77	1437	11462
78	1455	11437
79	1472	11415
80	1490	11386
81	1507	11363
82	1527	11353
83	1547	11348
84	1566	11330
85	1580	11284
86	1599	11267
87	1615	11236
88	1633	11211
89	1649	11181
90	1668	11165
91	1685	11141
92	1703	11119
93	1721	11097
94	1737	11062
95	1755	11047
96	1774	11030
97	1791	11007
98	1809	10987
99	1827	10967
100	1846	10951
101	1865	10934
102	1883	10914
103	1902	10900
104	1919	10878
105	1937	10857
106	1955	10839
107	1974	10820
108	1989	10786
109	2006	10762
110	2024	10743
111	2046	10742
112	2065	10727
113	2080	10696
114	2098	10676
115	2116	10656
116	2134	10638
117	2152	10614
118	2170	10599
119	2189	10581
120	2206	10559
121	2224	10540
122	2243	10523
123	2261	10504
124	2279	10484
125	2297	10464
126	2314	10441
127	2332	10423
128	2349	10401
129	2368	10383
130	2387	10372
131	2406	10354
132	2424	10334
133	2442	10315
134	2461	10299
135	2479	10281
136	2497	10263
137	2515	10243
138	2532	10222
139	2547	10189
140	2566	10176
141	2585	10161
142	2604	10146
143	2622	10126
144	2639	10104
145	2657	10084
146	2674	10062
147	2692	10041
148	2711	10026
149	2729	10008
150	2748	9992
151	2766	9973
152	2785	9957
153	2800	9929
154	2819	9912
155	2836	9889
156	2854	9870
157	2872	9853
158	2889	9832
159	2907	9814
160	2923	9787
161	2941	9768
162	2960	9752
163	2978	9736
164	2998	9722
165	3016	9704
166	3034	9685
167	3053	9668
168	3071	9651
169	3090	9636
170	3109	9620
171	3126	9598
172	3143	9576
173	3162	9560
174	3179	9539
175	3199	9526
176	3220	9517
177	3242	9510
178	3265	9504
179	3286	9493
180	3306	9482
181	3327	9470
182	3346	9452
183	3365	9437
184	3381	9412
185	3399	9394
186	3417	9375
187	3434	9352
188	3451	9332
189	3470	9314
190	3487	9293
191	3505	9275
192	3522	9253
193	3540	9234
194	3558	9216
195	3577	9199
196	3596	9183
197	3616	9168
198	3634	9149
199	3648	9121
200	3665	9099
201	3683	9082
202	3702	9063
203	3720	9044
204	3738	9027
205	3757	9011
206	3775	8991
207	3794	8975
208	3811	8955
209	3829	8935
210	3847	8916
211	3865	8898
212	3883	8878
213	3900	8858
214	3917	8837
215	3936	8820
216	3954	8800
217	3972	8782
218	3990	8763
219	4010	8749
220	4025	8725
221	4043	8706
222	4062	8690
223	4080	8670
224	4099	8654
225	4118	8638
226	4137	8621
227	4157	8606
228	4174	8585
229	4191	8566
230	4210	8548
231	4228	8529
232	4242	8503
233	4260	8483
234	4278	8465
235	4296	8447
236	4314	8429
237	4332	8411
238	4351	8393
239	4369	8375
240	4388	8357
241	4405	8337
242	4424	8320
243	4441	8301
244	4459	8281
245	4476	8261
246	4493	8241
247	4511	8222
248	4528	8202
249	4548	8186
250	4565	8167
251	4584	8149
252	4602	8130
253	4619	8111
254	4637	8092
255	4655	8074
256	4673	8056
257	4691	8037
258	4708	8017
259	4725	7997
260	4744	7979
261	4761	7960
262	4779	7942
263	4798	7924
264	4815	7905
265	4833	7885
266	4851	7867
267	4869	7849
268	4886	7828
269	4904	7810
270	4921	7791
271	4940	7774
272	4957	7754
273	4974	7734
274	4993	7716
275	5010	7697
276	5029	7680
277	5048	7662
278	5067	7646
279	5085	7628
280	5102	7608
281	5120	7590
282	5137	7570
283	5154	7550
284	5172	7531
